2020-05-26 13:21:44.515954
euro Strefa Euro,EUGiW,1 EUR,4.4800,-0.69%
peso filipiñskie,Filipiny,1 PHP,0.0809,-0.86%
dolar Hong Kongu,Hongkong,1 HKD,0.5274,-1.29%
-,Indonezja,10000 IDR,2.7708,-1.61%
korona islandzka,Islandia,100 ISK,2.8997,0.08%
jen japoñski,Japonia,100 JPY,3.7947,-1.31%
dolar kanadyjski,Kanada,1 CAD,2.9442,-0.65%
won po³udniowokoreañski,Korea Po³udniowa,100 KRW,0.3319,-0.57%
ringgit malezyjski,Malezja,1 MYR,0.9369,-1.31%
peso meksykañskie,Meksyk,1 MXN,0.1840,1.04%
korona norweska,Norwegia,1 NOK,0.4115,-0.58%
dolar nowozelandzki,Nowa Zelandia,1 NZD,2.5249,-0.04%
rand po³udniowoafrykañski,RPA,1 ZAR,0.2348,-0.34%
rubel rosyjski,Rosja,1 RUB,0.0575,-0.69%
lej rumuñski,Rumunia,1 RON,0.9255,-0.65%
-,SDR,1 XDR,5.5953,-0.69%
dolar singapurski,Singapur,1 SGD,2.8818,-0.83%
frank szwajcarski,Szwajcaria,1 CHF,4.2226,-0.88%
korona szwedzka,Szwecja,1 SEK,0.4244,-0.86%
baht tajlandzki,Tajlandia,1 THB,0.1282,-1.00%
lira turecka,Turcja,1 TRY,0.6030,-0.79%
dolar amerykañski,USA,1 USD,4.0885,-1.31%
hrywna ukraiñska,Ukraina,1 UAH,0.1519,-1.43%
funt brytyjski,W. Brytania,1 GBP,5.0298,-0.32%
forint wêgierski,Wêgry,100 HUF,1.2814,-0.44%
2020-05-26 13:22:13.153708
dolar australijski,Australia,1 AUD,2.7075,-0.03%
real brazylijski,Brazylia,1 BRL,0.7511,0.35%
lewa bu³garska,Bu³garia,1 BGN,2.2906,-0.69%
juan chiñski,Chiny,1 CNY,0.5732,-1.26%
kuna chorwacka,Chorwacja,1 HRK,0.5908,-0.69%
korona czeska,Czechy,1 CZK,0.1650,-0.06%
korona duñska,Dania,1 DKK,0.6009,-0.66%
euro Strefa Euro,EUGiW,1 EUR,4.4800,-0.69%
peso filipiñskie,Filipiny,1 PHP,0.0809,-0.86%
dolar Hong Kongu,Hongkong,1 HKD,0.5274,-1.29%
-,Indonezja,10000 IDR,2.7708,-1.61%
korona islandzka,Islandia,100 ISK,2.8997,0.08%
jen japoñski,Japonia,100 JPY,3.7947,-1.31%
dolar kanadyjski,Kanada,1 CAD,2.9442,-0.65%
won po³udniowokoreañski,Korea Po³udniowa,100 KRW,0.3319,-0.57%
ringgit malezyjski,Malezja,1 MYR,0.9369,-1.31%
peso meksykañskie,Meksyk,1 MXN,0.1840,1.04%
korona norweska,Norwegia,1 NOK,0.4115,-0.58%
dolar nowozelandzki,Nowa Zelandia,1 NZD,2.5249,-0.04%
rand po³udniowoafrykañski,RPA,1 ZAR,0.2348,-0.34%
rubel rosyjski,Rosja,1 RUB,0.0575,-0.69%
lej rumuñski,Rumunia,1 RON,0.9255,-0.65%
-,SDR,1 XDR,5.5953,-0.69%
dolar singapurski,Singapur,1 SGD,2.8818,-0.83%
frank szwajcarski,Szwajcaria,1 CHF,4.2226,-0.88%
korona szwedzka,Szwecja,1 SEK,0.4244,-0.86%
baht tajlandzki,Tajlandia,1 THB,0.1282,-1.00%
lira turecka,Turcja,1 TRY,0.6030,-0.79%
dolar amerykañski,USA,1 USD,4.0885,-1.31%
hrywna ukraiñska,Ukraina,1 UAH,0.1519,-1.43%
funt brytyjski,W. Brytania,1 GBP,5.0298,-0.32%
forint wêgierski,Wêgry,100 HUF,1.2814,-0.44%
